City,State,Number_of_Shootings,Population,Annual_Shootings_per_100k
Abilene,Texas,5,125182,0.44
Akron,Ohio,9,190469,0.53
Albuquerque,New Mexico,68,564559,1.34
Alexandria,Virginia,3,159467,0.21
Allen,Texas,4,104627,0.42
Allentown,Pennsylvania,5,125845,0.44
Amarillo,Texas,19,200393,1.05
Anaheim,California,16,346824,0.51
Antioch,California,5,115291,0.48
Arlington,Texas,14,394266,0.39
Arlington,Virginia,3,238643,0.14
Arvada,Colorado,8,124402,0.71
Atlanta,Georgia,36,498715,0.8
Aurora,Colorado,22,386261,0.63
Aurora,Illinois,2,180542,0.12
Austin,Texas,42,961855,0.49
Bakersfield,California,38,403455,1.05
Baltimore,Maryland,30,585708,0.57
Baton Rouge,Louisiana,15,227470,0.73
Beaumont,Texas,6,115282,0.58
Bellevue,Washington,1,151854,0.07
Berkeley,California,1,124321,0.09
Billings,Montana,16,117116,1.52
Birmingham,Alabama,14,200733,0.77
Boise,Idaho,14,235684,0.66
Boston,Massachusetts,10,675647,0.16
Boulder,Colorado,6,108250,0.62
Bridgeport,Connecticut,1,148654,0.07
Brockton,Massachusetts,3,105643,0.32
Broken Arrow,Oklahoma,1,113540,0.1
Brownsville,Texas,6,186738,0.36
Buffalo,New York,4,278349,0.16
Burbank,California,4,107337,0.41
Cambridge,Massachusetts,1,118403,0.09
Cape Coral,Florida,5,194016,0.29
Carrollton,Texas,3,133434,0.25
Cary,North Carolina,1,174721,0.06
Cedar Rapids,Iowa,4,137710,0.32
Centennial,Colorado,7,108418,0.72
Chandler,Arizona,10,275987,0.4
Charleston,South Carolina,3,150227,0.22
Charlotte,North Carolina,26,874579,0.33
Chattanooga,Tennessee,13,181099,0.8
Chesapeake,Virginia,3,249422,0.13
Chicago,Illinois,54,2746388,0.22
Chico,California,5,101475,0.55
Chula Vista,California,6,275487,0.24
Cincinnati,Ohio,7,309317,0.25
Clarksville,Tennessee,7,166722,0.47
Clearwater,Florida,4,117292,0.38
Cleveland,Ohio,16,372624,0.48
Clovis,California,2,120124,0.18
College Station,Texas,4,120511,0.37
Colorado Springs,Colorado,26,478961,0.6
Columbia,Maryland,1,104681,0.11
Columbia,Missouri,8,126254,0.7
Columbia,South Carolina,3,136632,0.24
Columbus,Georgia,6,206922,0.32
Columbus,Ohio,45,905748,0.55
Concord,California,2,125410,0.18
Concord,North Carolina,4,105240,0.42
Coral Springs,Florida,1,134394,0.08
Corona,California,4,157136,0.28
Corpus Christi,Texas,15,317863,0.52
Costa Mesa,California,1,111918,0.1
Dallas,Texas,24,1304379,0.2
Davenport,Iowa,5,101724,0.55
Davie,Florida,1,105691,0.11
Dayton,Ohio,7,137644,0.57
Dearborn,Michigan,5,109976,0.51
Denton,Texas,6,139869,0.48
Denver,Colorado,52,715522,0.81
Des Moines,Iowa,5,214133,0.26
Detroit,Michigan,30,639111,0.52
Downey,California,1,114355,0.1
Durham,North Carolina,7,283506,0.27
East Los Angeles,California,1,118786,0.09
Edinburg,Texas,4,100243,0.44
El Cajon,California,4,106215,0.42
El Monte,California,4,109450,0.41
El Paso,Texas,22,678815,0.36
Elgin,Illinois,1,114797,0.1
Elizabeth,New Jersey,1,137298,0.08
Elk Grove,California,3,176124,0.19
Escondido,California,5,151038,0.37
Eugene,Oregon,8,176654,0.5
Evansville,Indiana,14,117298,1.33
Everett,Washington,5,110629,0.5
Fairfield,California,1,119881,0.09
Fargo,North Dakota,2,125990,0.18
